infections,diagnosed,susceptible,steps
2.0,9.0,89.0,4215.0
3.0,10.0,87.0,4316.0
5.0,6.0,89.0,4278.0
5.0,9.0,86.0,4117.0
5.0,7.0,88.0,4224.0
6.0,10.0,84.0,4266.0
7.0,9.0,84.0,4304.0
7.0,8.0,85.0,4228.0
7.0,7.0,86.0,4292.0
4.0,9.0,87.0,4009.0
4.0,10.0,86.0,4052.0
0.0,12.0,88.0,3988.0
5.0,7.0,88.0,4078.0
3.0,8.0,89.0,4110.0
7.0,10.0,83.0,4161.0
6.0,8.0,86.0,4123.0
3.0,11.0,86.0,4234.0
5.0,9.0,86.0,4273.0
5.0,12.0,83.0,4128.0
4.0,8.0,88.0,4027.0
8.0,11.0,81.0,4422.0
7.0,10.0,83.0,4219.0
5.0,9.0,86.0,4289.0
3.0,9.0,88.0,4319.0
7.0,9.0,84.0,4224.0
5.0,14.0,81.0,3997.0
6.0,11.0,83.0,4136.0
4.0,9.0,87.0,4025.0
6.0,10.0,84.0,4170.0
6.0,10.0,84.0,4345.0
1.0,11.0,88.0,4095.0
6.0,13.0,81.0,4187.0
4.0,9.0,87.0,4121.0
7.0,12.0,81.0,4092.0
5.0,10.0,85.0,4044.0
1.0,15.0,84.0,4123.0
6.0,9.0,85.0,4055.0
3.0,12.0,85.0,4086.0
3.0,8.0,89.0,4241.0
10.0,12.0,78.0,4115.0
6.0,12.0,82.0,4110.0
7.0,9.0,84.0,4196.0
6.0,6.0,88.0,4158.0
2.0,12.0,86.0,4267.0
3.0,10.0,87.0,4149.0
5.0,10.0,85.0,4317.0
6.0,9.0,85.0,4321.0
2.0,9.0,89.0,3969.0
4.0,15.0,81.0,3928.0
8.0,11.0,81.0,4093.0
4.0,11.0,85.0,4284.0
4.0,8.0,88.0,4105.0
4.0,13.0,83.0,4094.0
3.0,8.0,89.0,4116.0
5.0,7.0,88.0,4240.0
3.0,10.0,87.0,3989.0
2.0,9.0,89.0,3981.0
5.0,9.0,86.0,4115.0
8.0,12.0,80.0,4122.0
4.0,8.0,88.0,4160.0
3.0,10.0,87.0,4173.0
2.0,11.0,87.0,4212.0
2.0,12.0,86.0,4104.0
5.0,7.0,88.0,3978.0
7.0,7.0,86.0,4269.0
4.0,12.0,84.0,4294.0
4.0,7.0,89.0,4069.0
5.0,11.0,84.0,4114.0
3.0,10.0,87.0,4317.0
3.0,10.0,87.0,4188.0
5.0,8.0,87.0,4280.0
9.0,9.0,82.0,4175.0
2.0,11.0,87.0,4024.0
8.0,6.0,86.0,4131.0
6.0,7.0,87.0,4231.0
4.0,6.0,90.0,4081.0
6.0,10.0,84.0,4114.0
4.0,8.0,88.0,4143.0
3.0,8.0,89.0,4328.0
4.0,9.0,87.0,4129.0
3.0,11.0,86.0,4238.0
5.0,9.0,86.0,4321.0
3.0,11.0,86.0,4095.0
2.0,10.0,88.0,4297.0
3.0,9.0,88.0,4151.0
3.0,12.0,85.0,3981.0
3.0,10.0,87.0,4191.0
2.0,9.0,89.0,4156.0
5.0,12.0,83.0,4088.0
6.0,7.0,87.0,4201.0
1.0,9.0,90.0,4227.0
3.0,11.0,86.0,4086.0
10.0,5.0,85.0,4430.0
2.0,12.0,86.0,4067.0
4.0,9.0,87.0,4191.0
6.0,9.0,85.0,4189.0
6.0,9.0,85.0,4165.0
1.0,10.0,89.0,4223.0
4.0,8.0,88.0,4062.0
3.0,8.0,89.0,4192.0
5.0,8.0,87.0,4170.0
2.0,11.0,87.0,4145.0
3.0,9.0,88.0,4093.0
4.0,10.0,86.0,3972.0
5.0,8.0,87.0,4106.0
5.0,12.0,83.0,4210.0
5.0,13.0,82.0,4248.0
6.0,9.0,85.0,3933.0
2.0,12.0,86.0,4179.0
12.0,12.0,76.0,4288.0
3.0,10.0,87.0,4167.0
2.0,10.0,88.0,4141.0
2.0,12.0,86.0,3981.0
10.0,11.0,79.0,4255.0
9.0,11.0,80.0,4219.0
8.0,10.0,82.0,4201.0
3.0,11.0,86.0,3959.0
3.0,14.0,83.0,3973.0
5.0,8.0,87.0,4048.0
6.0,7.0,87.0,4344.0
4.0,9.0,87.0,3896.0
2.0,8.0,90.0,4046.0
3.0,10.0,87.0,4101.0
6.0,10.0,84.0,4131.0
4.0,10.0,86.0,4233.0
8.0,10.0,82.0,4187.0
5.0,11.0,84.0,4275.0
3.0,10.0,87.0,4086.0
7.0,12.0,81.0,4110.0
6.0,6.0,88.0,4181.0
3.0,13.0,84.0,4034.0
6.0,13.0,81.0,4301.0
3.0,9.0,88.0,4118.0
5.0,10.0,85.0,4073.0
7.0,8.0,85.0,4297.0
3.0,9.0,88.0,4118.0
6.0,11.0,83.0,4102.0
5.0,7.0,88.0,4153.0
8.0,7.0,85.0,4493.0
8.0,9.0,83.0,4115.0
10.0,6.0,84.0,4510.0
6.0,11.0,83.0,4096.0
4.0,12.0,84.0,4268.0
6.0,10.0,84.0,4358.0
5.0,12.0,83.0,4197.0
2.0,10.0,88.0,4317.0
6.0,10.0,84.0,4467.0
7.0,7.0,86.0,4318.0
3.0,9.0,88.0,4083.0
5.0,9.0,86.0,4285.0
4.0,15.0,81.0,3973.0
5.0,12.0,83.0,3945.0
4.0,13.0,83.0,4013.0
2.0,15.0,83.0,3980.0
6.0,11.0,83.0,4207.0
5.0,9.0,86.0,4029.0
8.0,9.0,83.0,4172.0
7.0,6.0,87.0,4503.0
1.0,16.0,83.0,4110.0
5.0,6.0,89.0,4231.0
4.0,10.0,86.0,4168.0
6.0,11.0,83.0,4160.0
8.0,10.0,82.0,4094.0
8.0,9.0,83.0,4083.0
7.0,8.0,85.0,4203.0
2.0,9.0,89.0,4123.0
2.0,10.0,88.0,4105.0
7.0,7.0,86.0,4234.0
3.0,8.0,89.0,4189.0
3.0,10.0,87.0,3960.0
6.0,10.0,84.0,4159.0
2.0,9.0,89.0,4225.0
4.0,8.0,88.0,4181.0
7.0,10.0,83.0,4240.0
5.0,8.0,87.0,4255.0
5.0,8.0,87.0,4291.0
8.0,10.0,82.0,4392.0
5.0,10.0,85.0,4072.0
5.0,8.0,87.0,4387.0
5.0,7.0,88.0,4143.0
0.0,11.0,89.0,4021.0
6.0,8.0,86.0,4114.0
6.0,10.0,84.0,4210.0
6.0,9.0,85.0,4085.0
5.0,10.0,85.0,4038.0
4.0,6.0,90.0,4202.0
2.0,9.0,89.0,4270.0
3.0,7.0,90.0,4369.0
3.0,10.0,87.0,4209.0
10.0,9.0,81.0,4389.0
4.0,10.0,86.0,4006.0
4.0,13.0,83.0,3799.0
7.0,7.0,86.0,4233.0
2.0,11.0,87.0,4233.0
8.0,10.0,82.0,4307.0
6.0,12.0,82.0,4039.0
5.0,10.0,85.0,4234.0
5.0,10.0,85.0,4066.0
8.0,8.0,84.0,4215.0
5.0,9.0,86.0,4325.0
6.0,9.0,85.0,4150.0
2.0,10.0,88.0,4183.0
6.0,9.0,85.0,4143.0
5.0,9.0,86.0,4321.0
7.0,9.0,84.0,4309.0
7.0,9.0,84.0,4273.0
11.0,9.0,80.0,4229.0
6.0,10.0,84.0,4148.0
4.0,11.0,85.0,4117.0
7.0,8.0,85.0,4198.0
6.0,11.0,83.0,4265.0
6.0,9.0,85.0,4015.0
3.0,11.0,86.0,4169.0
4.0,9.0,87.0,4243.0
3.0,11.0,86.0,4048.0
4.0,10.0,86.0,4173.0
4.0,9.0,87.0,3921.0
6.0,7.0,87.0,4231.0
5.0,10.0,85.0,4250.0
7.0,13.0,80.0,4026.0
5.0,10.0,85.0,4041.0
3.0,10.0,87.0,4198.0
1.0,13.0,86.0,3891.0
5.0,11.0,84.0,4315.0
9.0,12.0,79.0,4027.0
3.0,9.0,88.0,4165.0
7.0,10.0,83.0,4189.0
4.0,11.0,85.0,4212.0
5.0,9.0,86.0,4124.0
4.0,11.0,85.0,4033.0
5.0,11.0,84.0,4121.0
6.0,10.0,84.0,4257.0
5.0,9.0,86.0,4146.0
8.0,8.0,84.0,4230.0
3.0,11.0,86.0,4305.0
2.0,9.0,89.0,4065.0
2.0,12.0,86.0,4053.0
3.0,11.0,86.0,4141.0
10.0,10.0,80.0,4357.0
5.0,9.0,86.0,4201.0
6.0,10.0,84.0,4157.0
4.0,10.0,86.0,4178.0
4.0,10.0,86.0,4026.0
7.0,12.0,81.0,4039.0
6.0,12.0,82.0,4025.0
7.0,10.0,83.0,4269.0
3.0,9.0,88.0,4224.0
4.0,11.0,85.0,4082.0
3.0,10.0,87.0,4255.0
4.0,10.0,86.0,4141.0
5.0,7.0,88.0,4395.0
9.0,7.0,84.0,4249.0
2.0,9.0,89.0,4227.0
4.0,12.0,84.0,4232.0
7.0,10.0,83.0,4180.0
2.0,9.0,89.0,4184.0
4.0,7.0,89.0,4179.0
2.0,10.0,88.0,4103.0
2.0,12.0,86.0,4210.0
8.0,6.0,86.0,4397.0
5.0,9.0,86.0,4125.0
9.0,7.0,84.0,4188.0
6.0,10.0,84.0,4344.0
5.0,8.0,87.0,4138.0
10.0,14.0,76.0,4117.0
5.0,11.0,84.0,4243.0
