infections,diagnosed,susceptible,steps
38.0,43.0,19.0,9176.0
36.0,45.0,19.0,9194.0
27.0,40.0,33.0,9256.0
28.0,53.0,19.0,8455.0
39.0,43.0,18.0,9104.0
37.0,51.0,12.0,9053.0
35.0,49.0,16.0,8970.0
30.0,44.0,26.0,8803.0
35.0,51.0,14.0,8443.0
40.0,43.0,17.0,9324.0
36.0,39.0,25.0,8991.0
36.0,50.0,14.0,9321.0
29.0,50.0,21.0,9037.0
38.0,48.0,14.0,9009.0
37.0,55.0,8.0,8493.0
45.0,43.0,12.0,9352.0
38.0,49.0,13.0,8930.0
37.0,49.0,14.0,8916.0
39.0,41.0,20.0,9530.0
34.0,52.0,14.0,8848.0
40.0,45.0,15.0,8660.0
33.0,50.0,17.0,8961.0
34.0,49.0,17.0,8863.0
32.0,52.0,16.0,9264.0
39.0,24.0,37.0,9971.0
32.0,46.0,22.0,8856.0
36.0,45.0,19.0,9326.0
33.0,44.0,23.0,9545.0
41.0,38.0,21.0,9179.0
28.0,53.0,19.0,8531.0
43.0,37.0,20.0,9359.0
38.0,47.0,15.0,8997.0
49.0,39.0,12.0,9167.0
38.0,46.0,16.0,8600.0
46.0,33.0,21.0,9350.0
42.0,48.0,10.0,9059.0
36.0,40.0,24.0,9387.0
40.0,29.0,31.0,9981.0
33.0,51.0,16.0,9219.0
40.0,40.0,20.0,9247.0
49.0,33.0,18.0,9382.0
40.0,46.0,14.0,9407.0
43.0,44.0,13.0,9451.0
40.0,45.0,15.0,8926.0
42.0,35.0,23.0,9791.0
45.0,45.0,10.0,8949.0
28.0,57.0,15.0,8608.0
35.0,51.0,14.0,8444.0
44.0,41.0,15.0,9095.0
48.0,33.0,19.0,9679.0
47.0,28.0,25.0,10164.0
36.0,55.0,9.0,9225.0
38.0,42.0,20.0,9545.0
43.0,44.0,13.0,9061.0
40.0,33.0,27.0,9323.0
42.0,41.0,17.0,9582.0
37.0,47.0,16.0,9113.0
37.0,43.0,20.0,8944.0
40.0,47.0,13.0,9183.0
35.0,38.0,27.0,9981.0
39.0,38.0,23.0,9745.0
32.0,55.0,13.0,8302.0
45.0,36.0,19.0,9716.0
40.0,51.0,9.0,8878.0
40.0,44.0,16.0,9217.0
32.0,48.0,20.0,9410.0
38.0,50.0,12.0,8483.0
